,open_time,open,high,low,close,volume,close_time
0,1609459200000,28948.19,29668.86,28627.12,29337.16,210716.398,1609545599999
1,1609545600000,29337.15,33480.00,28958.24,32199.91,545541.080,1609631999999
2,1609632000000,32198.41,34832.25,32000.02,33054.53,487486.989,1609718399999
3,1609718400000,33053.93,33653.56,27800.00,32031.07,506128.023,1609804799999
4,1609804800000,32029.55,34500.00,29900.00,33999.52,433720.833,1609891199999
5,1609891200000,33999.51,37037.51,33356.46,36823.68,444019.830,1609977599999
6,1609977600000,36825.77,40565.62,36337.36,39498.92,520147.908,1610063999999
7,1610064000000,39498.32,42125.51,36539.77,40637.23,518080.826,1610150399999
8,1610150400000,40638.91,41539.88,38733.28,40136.04,260882.805,1610236799999
9,1610236800000,40136.05,41412.12,35268.00,38221.67,436759.048,1610323199999
10,1610323200000,38200.01,38322.18,30448.00,35408.46,906275.651,1610409599999
11,1610409600000,35406.92,36693.44,32600.00,34056.90,449065.693,1610495999999
12,1610496000000,34065.53,37880.00,32420.00,37421.07,398188.088,1610582399999
13,1610582400000,37416.34,40189.39,36764.33,39163.31,353142.386,1610668799999
14,1610668800000,39163.31,39790.00,34478.00,36755.24,437610.113,1610755199999
15,1610755200000,36755.25,38000.00,35366.00,36025.66,301102.477,1610841599999
16,1610841600000,36025.65,36898.00,33863.50,35869.83,287686.129,1610927999999
17,1610928000000,35875.72,37547.94,34808.47,36686.86,253386.703,1611014399999
18,1611014400000,36690.00,37961.00,35850.00,35891.03,257889.419,1611100799999
19,1611100800000,35891.74,36461.44,33403.00,35500.00,329192.419,1611187199999
20,1611187200000,35499.23,35636.17,30069.90,30879.97,550562.277,1611273599999
21,1611273600000,30875.77,33831.52,28880.00,32986.34,453568.538,1611359999999
22,1611360000000,32990.08,33495.00,31405.00,32086.48,256776.411,1611446399999
23,1611446400000,32086.48,33125.75,30914.20,32275.63,212107.044,1611532799999
24,1611532800000,32274.88,34880.00,31921.47,32253.68,316687.524,1611619199999
25,1611619200000,32253.68,32950.00,30810.00,32474.14,346861.707,1611705599999
26,1611705600000,32474.81,32562.20,29240.00,30381.04,431022.839,1611791999999
27,1611792000000,30382.96,33778.95,29843.33,33399.75,311528.373,1611878399999
28,1611878400000,33399.99,38641.10,31960.00,34269.35,713579.785,1611964799999
29,1611964800000,34267.04,34988.88,32849.06,34289.85,267861.872,1612051199999
30,1612051200000,34284.76,34393.22,32193.04,33126.21,211293.891,1612137599999
31,1612137600000,33125.11,34720.00,32322.47,33546.09,240632.325,1612223999999
32,1612224000000,33546.08,36041.00,33450.00,35504.06,239856.230,1612310399999
33,1612310400000,35504.07,37700.00,35410.00,37652.51,240308.078,1612396799999
34,1612396800000,37651.92,38833.00,36233.00,36976.93,306715.022,1612483199999
35,1612483200000,36975.19,38411.82,36586.68,38362.65,196277.444,1612569599999
36,1612569600000,38357.17,40992.40,38269.00,39249.54,310826.315,1612655999999
37,1612656000000,39249.53,39757.87,37403.27,38849.25,296721.925,1612742399999
38,1612742400000,38849.24,47146.00,38037.00,46451.32,440167.093,1612828799999
39,1612828800000,46451.32,48266.36,45057.65,46492.54,381477.426,1612915199999
40,1612915200000,46492.53,47475.00,43770.00,44850.00,334979.017,1613001599999
41,1613001600000,44850.00,48810.00,44038.97,48060.21,330540.045,1613087999999
42,1613088000000,48060.21,49278.98,46121.00,47361.03,259186.288,1613174399999
43,1613174400000,47364.00,48290.00,46252.10,47221.62,199965.397,1613260799999
44,1613260800000,47221.63,49875.16,47093.16,48655.21,241935.666,1613347199999
45,1613347200000,48655.21,49100.00,45349.21,47981.58,248960.404,1613433599999
46,1613433600000,47981.60,50953.44,47101.02,49197.94,343592.011,1613519999999
47,1613520000000,49197.93,52800.00,49029.62,52194.62,312007.458,1613606399999
48,1613606400000,52194.62,52640.00,50948.00,51619.70,185489.890,1613692799999
49,1613692800000,51612.46,56582.00,50800.00,56004.10,257911.872,1613779199999
50,1613779200000,56005.85,57699.00,53905.00,55917.41,240296.308,1613865599999
51,1613865600000,55908.45,58472.14,55564.50,57487.43,196820.573,1613951999999
52,1613952000000,57475.50,57591.87,47751.42,54121.10,480660.187,1614038399999
53,1614038400000,54125.55,54260.12,44893.82,48930.00,748737.462,1614124799999
54,1614124800000,48930.01,51435.58,47000.00,49702.03,333415.219,1614211199999
55,1614211200000,49702.05,52134.96,46685.43,47089.37,349943.016,1614297599999
56,1614297600000,47087.97,48438.01,44100.00,46313.13,440670.320,1614383999999
57,1614384000000,46313.12,48476.05,44926.77,46102.63,256027.074,1614470399999
58,1614470400000,46097.09,46678.00,43002.05,45163.36,370358.825,1614556799999
59,1614556800000,45162.64,49800.00,44972.49,49592.70,315659.931,1614643199999
60,1614643200000,49594.99,50221.77,47058.06,48450.57,273100.435,1614729599999
61,1614729600000,48454.21,52681.51,48110.66,50373.75,350311.234,1614815999999
62,1614816000000,50373.75,51800.00,47500.00,48385.77,387428.957,1614902399999
63,1614902400000,48385.77,49470.00,46320.00,48770.57,354602.756,1614988799999
64,1614988800000,48772.68,49253.63,47090.00,48908.21,215092.910,1615075199999
65,1615075200000,48908.21,51480.00,48908.21,50995.27,248398.116,1615161599999
66,1615161600000,50991.35,52450.00,49310.00,52429.43,308339.866,1615247999999
67,1615248000000,52429.43,54950.00,51880.00,54917.78,285604.798,1615334399999
68,1615334400000,54917.78,57500.92,53061.00,55947.98,401159.493,1615420799999
69,1615420800000,55949.30,58283.00,54356.44,57844.52,364681.318,1615507199999
70,1615507200000,57842.64,58186.33,55074.30,57291.03,335495.042,1615593599999
71,1615593600000,57291.04,61950.00,56136.00,61267.41,320322.173,1615679999999
72,1615680000000,61267.41,61798.00,59005.00,59037.12,231991.901,1615766399999
73,1615766400000,59037.11,60740.00,54517.28,55646.61,448820.830,1615852799999
74,1615852800000,55646.61,56988.00,53335.00,56954.19,339718.202,1615939199999
75,1615939200000,56953.23,59078.79,54154.93,58959.00,339397.712,1616025599999
76,1616025600000,58959.01,60510.00,57072.00,57700.01,305100.026,1616111999999
77,1616112000000,57700.01,59550.00,56301.27,58089.11,259039.479,1616198399999
78,1616198400000,58089.11,59948.00,57881.00,58145.61,203680.149,1616284799999
79,1616284800000,58144.44,58638.70,55403.55,57415.18,237518.696,1616371199999
